Sort Name,Date and Time,Test Number,Git Branch,Git Hash,Command Line Executed,Text File,Count of Strings,Type of File,Execution Time (real, to nearest ms)
optimalSort,10/13/22 23:11:11,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e0.txt | ./optimalSort > /dev/null,random.txt10e0.txt,1,random.txt,0.004
optimalSort,10/13/22 23:11:11,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e0.txt | ./optimalSort > /dev/null,random.txt10e0.txt,1,random.txt,0.004
optimalSort,10/13/22 23:11:11,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e0.txt | ./optimalSort > /dev/null,random.txt10e0.txt,1,random.txt,0.003
optimalSort,10/13/22 23:11:11,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e0.txt | ./optimalSort > /dev/null,random.txt10e0.txt,1,random.txt,0.003
optimalSort,10/13/22 23:11:11,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e0.txt | ./optimalSort > /dev/null,random.txt10e0.txt,1,random.txt,0.003
optimalSort,10/13/22 23:11:11,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e1.txt | ./optimalSort > /dev/null,random.txt10e1.txt,10,random.txt,0.004
optimalSort,10/13/22 23:11:11,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e1.txt | ./optimalSort > /dev/null,random.txt10e1.txt,10,random.txt,0.004
optimalSort,10/13/22 23:11:11,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e1.txt | ./optimalSort > /dev/null,random.txt10e1.txt,10,random.txt,0.004
optimalSort,10/13/22 23:11:11,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e1.txt | ./optimalSort > /dev/null,random.txt10e1.txt,10,random.txt,0.003
optimalSort,10/13/22 23:11:11,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e1.txt | ./optimalSort > /dev/null,random.txt10e1.txt,10,random.txt,0.003
optimalSort,10/13/22 23:11:11,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e2.txt | ./optimalSort > /dev/null,random.txt10e2.txt,100,random.txt,0.004
optimalSort,10/13/22 23:11:11,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e2.txt | ./optimalSort > /dev/null,random.txt10e2.txt,100,random.txt,0.004
optimalSort,10/13/22 23:11:11,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e2.txt | ./optimalSort > /dev/null,random.txt10e2.txt,100,random.txt,0.004
optimalSort,10/13/22 23:11:11,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e2.txt | ./optimalSort > /dev/null,random.txt10e2.txt,100,random.txt,0.004
optimalSort,10/13/22 23:11:11,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e2.txt | ./optimalSort > /dev/null,random.txt10e2.txt,100,random.txt,0.003
optimalSort,10/13/22 23:11:11,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e3.txt | ./optimalSort > /dev/null,random.txt10e3.txt,1000,random.txt,0.005
optimalSort,10/13/22 23:11:11,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e3.txt | ./optimalSort > /dev/null,random.txt10e3.txt,1000,random.txt,0.005
optimalSort,10/13/22 23:11:11,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e3.txt | ./optimalSort > /dev/null,random.txt10e3.txt,1000,random.txt,0.005
optimalSort,10/13/22 23:11:11,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e3.txt | ./optimalSort > /dev/null,random.txt10e3.txt,1000,random.txt,0.005
optimalSort,10/13/22 23:11:11,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e3.txt | ./optimalSort > /dev/null,random.txt10e3.txt,1000,random.txt,0.005
optimalSort,10/13/22 23:11:11,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e4.txt | ./optimalSort > /dev/null,random.txt10e4.txt,10000,random.txt,0.021
optimalSort,10/13/22 23:11:11,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e4.txt | ./optimalSort > /dev/null,random.txt10e4.txt,10000,random.txt,0.021
optimalSort,10/13/22 23:11:11,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e4.txt | ./optimalSort > /dev/null,random.txt10e4.txt,10000,random.txt,0.021
optimalSort,10/13/22 23:11:11,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e4.txt | ./optimalSort > /dev/null,random.txt10e4.txt,10000,random.txt,0.021
optimalSort,10/13/22 23:11:11,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e4.txt | ./optimalSort > /dev/null,random.txt10e4.txt,10000,random.txt,0.021
optimalSort,10/13/22 23:11:11,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e5.txt | ./optimalSort > /dev/null,random.txt10e5.txt,100000,random.txt,0.190
optimalSort,10/13/22 23:11:11,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e5.txt | ./optimalSort > /dev/null,random.txt10e5.txt,100000,random.txt,0.191
optimalSort,10/13/22 23:11:12,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e5.txt | ./optimalSort > /dev/null,random.txt10e5.txt,100000,random.txt,0.190
optimalSort,10/13/22 23:11:12,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e5.txt | ./optimalSort > /dev/null,random.txt10e5.txt,100000,random.txt,0.189
optimalSort,10/13/22 23:11:12,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat random.txt10e5.txt | ./optimalSort > /dev/null,random.txt10e5.txt,100000,random.txt,0.190
